Size	10
N_Iter	100
	Primary	Brute Force	Sort Dur	Sort Weight	Greedy	HillClimbing	SimAnn
0	114	31	57	68	31	31	31
1	80	14	37	66	80	17	23
2	110	20	60	37	20	20	26
3	84	4	60	38	4	4	4
4	81	19	51	32	19	19	19
5	88	7	41	62	88	9	11
6	117	12	55	54	92	12	20
7	94	13	29	38	19	13	13
8	123	7	66	20	54	7	18
9	32	12	40	24	12	12	12
10	28	18	50	52	18	18	18
11	104	18	43	68	18	18	24
12	105	34	65	60	81	39	39
13	26	6	26	26	26	6	6
14	49	11	25	21	11	11	11
15	57	20	53	25	20	20	21
16	3	3	23	11	3	3	3
17	18	3	18	16	3	3	3
18	89	18	46	60	18	22	22
19	50	11	24	24	11	11	11
20	108	24	44	46	27	24	29
21	78	23	27	29	23	23	23
22	85	21	59	43	51	21	21
23	35	9	17	19	9	9	9
24	27	6	11	15	27	6	6
25	43	14	25	30	14	14	14
26	94	19	64	42	65	19	19
27	18	18	57	40	18	18	18
28	85	6	27	29	45	6	8
29	89	17	69	37	55	17	23
30	19	8	8	34	8	8	8
31	88	18	43	56	29	18	18
32	81	15	51	34	15	15	19
33	75	16	51	71	49	23	28
34	46	20	35	46	20	20	20
35	82	18	38	21	18	18	18
36	21	15	21	35	15	15	15
37	19	14	19	34	14	14	14
38	110	27	59	77	27	27	27
39	62	4	24	24	4	4	7
40	77	16	37	34	45	16	17
41	123	22	41	73	22	22	22
42	102	7	35	37	39	7	9
43	25	5	35	29	5	5	5
44	13	9	9	18	9	9	9
45	93	12	26	23	12	12	15
46	80	24	69	36	44	24	25
47	104	9	26	37	9	13	17
48	0	0	29	15	0	0	0
49	47	8	48	38	8	14	14
50	106	6	61	29	47	11	20
51	106	19	39	51	53	19	24
52	46	1	1	17	1	1	1
53	102	13	55	46	102	13	22
54	69	20	69	30	20	20	20
55	0	0	26	30	0	0	0
56	123	34	76	63	34	34	36
57	48	10	18	30	10	10	10
58	151	30	30	62	30	30	30
59	106	25	76	69	35	25	27
60	15	11	27	29	11	11	11
61	32	6	30	32	6	6	6
62	29	3	10	17	3	3	3
63	67	13	22	28	13	13	13
64	44	34	42	44	34	34	34
65	99	24	64	49	24	28	28
66	117	35	68	69	96	35	35
67	18	2	22	19	18	2	4
68	42	14	40	54	14	14	14
69	98	23	58	50	51	23	23
70	55	16	42	51	26	16	16
71	21	8	23	40	8	8	8
72	34	20	20	45	20	20	20
73	76	1	47	71	1	1	9
74	47	14	23	19	14	14	14
75	20	17	56	82	20	17	19
76	60	10	45	50	10	10	19
77	107	7	7	23	7	7	7
78	99	15	59	56	37	15	23
79	99	9	54	26	9	15	16
80	63	11	38	46	11	11	11
81	35	11	20	24	11	11	11
82	9	4	4	21	4	4	4
83	84	34	58	72	34	34	34
84	55	15	47	27	15	15	19
85	76	5	44	28	5	5	8
86	48	12	33	49	12	12	15
87	57	19	33	38	23	19	19
88	28	5	60	52	28	5	15
89	32	12	35	29	12	12	12
90	39	19	22	54	19	19	19
91	47	20	20	41	20	20	20
92	105	34	67	50	77	34	34
93	124	16	74	31	72	16	17
94	55	21	35	42	49	21	21
95	34	15	48	50	15	20	20
96	78	13	57	62	78	18	20
97	0	0	35	39	0	0	0
98	87	14	41	54	66	14	14
99	117	34	54	67	34	34	35
